10
1;Yejicelao
2;Awu
3;Ciyuuusen
4;Gocunaqu
5;Kor
6;Nivafoy
7;Yap
8;Adugolahu
9;Dowibuwiseh
10;Kag
0,00;49,81;0,00;0,00;95,36;0,00;0,00;32,76;81,08;43,44
49,81;0,00;48,94;41,02;40,19;0,00;62,93;76,50;36,48;35,38
0,00;48,94;0,00;81,66;0,00;0,00;0,00;84,48;0,00;91,57
0,00;41,02;81,66;0,00;62,14;0,00;0,00;41,78;85,73;0,00
95,36;40,19;0,00;62,14;0,00;76,05;79,73;0,00;0,00;51,14
0,00;0,00;0,00;0,00;76,05;0,00;77,28;90,64;0,00;0,00
0,00;62,93;0,00;0,00;79,73;77,28;0,00;58,63;0,00;0,00
32,76;76,50;84,48;41,78;0,00;90,64;58,63;0,00;35,27;99,38
81,08;36,48;0,00;85,73;0,00;0,00;0,00;35,27;0,00;101,42
43,44;35,38;91,57;0,00;51,14;0,00;0,00;99,38;101,42;0,00
